condition	replicate	edge_id	parent	child	seed	run_dir	status	child_fasta
very_high	1	E013	N05	N07	151013	runs/very_high/rep_001/E013_N05_to_N07	completed	data/node_fastas/very_high/rep_001/N07.fa
very_high	1	E014	N07	S07	151014	runs/very_high/rep_001/E014_N07_to_S07	completed	data/node_fastas/very_high/rep_001/S07.fa
very_high	1	E015	N07	S08	151015	runs/very_high/rep_001/E015_N07_to_S08	completed	data/node_fastas/very_high/rep_001/S08.fa
very_high	1	E016	root	N08	151016	runs/very_high/rep_001/E016_root_to_N08	completed	data/node_fastas/very_high/rep_001/N08.fa
very_high	1	E017	N08	N09	151017	runs/very_high/rep_001/E017_N08_to_N09	completed	data/node_fastas/very_high/rep_001/N09.fa
very_high	1	E018	N09	N10	151018	runs/very_high/rep_001/E018_N09_to_N10	completed	data/node_fastas/very_high/rep_001/N10.fa
very_high	1	E019	N10	S09	151019	runs/very_high/rep_001/E019_N10_to_S09	completed	data/node_fastas/very_high/rep_001/S09.fa
very_high	1	E020	N10	S10	151020	runs/very_high/rep_001/E020_N10_to_S10	completed	data/node_fastas/very_high/rep_001/S10.fa
very_high	1	E021	N09	N11	151021	runs/very_high/rep_001/E021_N09_to_N11	completed	data/node_fastas/very_high/rep_001/N11.fa
very_high	1	E022	N11	S11	151022	runs/very_high/rep_001/E022_N11_to_S11	completed	data/node_fastas/very_high/rep_001/S11.fa
very_high	1	E023	N11	S12	151023	runs/very_high/rep_001/E023_N11_to_S12	completed	data/node_fastas/very_high/rep_001/S12.fa
very_high	1	E024	N08	N12	151024	runs/very_high/rep_001/E024_N08_to_N12	completed	data/node_fastas/very_high/rep_001/N12.fa
very_high	1	E025	N12	N13	151025	runs/very_high/rep_001/E025_N12_to_N13	completed	data/node_fastas/very_high/rep_001/N13.fa
very_high	1	E026	N13	S13	151026	runs/very_high/rep_001/E026_N13_to_S13	completed	data/node_fastas/very_high/rep_001/S13.fa
very_high	1	E027	N13	S14	151027	runs/very_high/rep_001/E027_N13_to_S14	completed	data/node_fastas/very_high/rep_001/S14.fa
very_high	1	E028	N12	N14	151028	runs/very_high/rep_001/E028_N12_to_N14	completed	data/node_fastas/very_high/rep_001/N14.fa
very_high	1	E029	N14	S15	151029	runs/very_high/rep_001/E029_N14_to_S15	completed	data/node_fastas/very_high/rep_001/S15.fa
very_high	1	E030	N14	S16	151030	runs/very_high/rep_001/E030_N14_to_S16	completed	data/node_fastas/very_high/rep_001/S16.fa
